id,color,name
50,#000000,negro
51,#252440,a. marino
52,#35281E,cocoa
53,#4b3621,cafe
54,#F5F5DC,beige
55,#5e2129,vino
56,#ebe1ce,bleach
57,#b8b09b,stone
58,,colores
59,#ece2c6,arena
60,#036c00,verde
61,#767676,gris
75,#2271b3,a. cielo
76,#DE3163,cereza
77,#d30800,rojo
78,#0049ef,azul
79,#BE5A02,shedron
80,#0836a9,a. rey
81,#ffffff,blanco
82,#ff0080,rosa
83,#FF7F50,coral
84,#ffec14,amarillo
85,#3f888f,turquesa
86,#24d39a,v. menta
87,#b4b4b4,gris claro
88,#000000,khaki
89,,hueso
90,,olivo
91,,moving light stone
92,,moving blue
93,,moving negro
94,,ring stone
95,,avy bleach
96,,ring carbon
97,,a. francia
98,,alcanfor
99,,paja
100,,esencia
101,,am. oro
102,,az. celeste
103,,perla
104,,v. manzana
105,,fuscia
106,,jade
107,,palo de rosa
142,,lila
